,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
9857,9858,2012-02-20,1,1,2,17,1,1,0,1,0.38,0.3939,0.27,0.2537,27,226,253
3198,3199,2011-05-18,2,0,5,4,0,3,1,3,0.52,0.5,0.94,0.2985,1,2,3
6662,6663,2011-10-10,4,0,10,4,1,1,0,1,0.46,0.4545,0.94,0.0,2,4,6
8860,8861,2012-01-10,1,1,1,0,0,2,1,2,0.22,0.2424,0.87,0.1045,0,14,14
11801,11802,2012-05-11,2,1,5,22,0,5,1,1,0.56,0.5303,0.35,0.2239,44,190,234
2136,2137,2011-04-03,2,0,4,21,0,0,0,2,0.42,0.4242,0.44,0.2239,8,37,45
9244,9245,2012-01-26,1,1,1,2,0,4,1,2,0.28,0.2727,0.75,0.1642,1,6,7
14741,14742,2012-09-11,3,1,9,10,0,2,1,1,0.62,0.6212,0.38,0.0,54,142,196
2923,2924,2011-05-06,2,0,5,17,0,5,1,1,0.58,0.5455,0.4,0.3582,83,470,553
13963,13964,2012-08-10,3,1,8,0,0,5,1,1,0.7,0.6515,0.65,0.0896,17,68,85
13839,13840,2012-08-04,3,1,8,20,0,6,0,1,0.82,0.7727,0.52,0.2985,117,195,312
5105,5106,2011-08-05,3,0,8,15,0,5,1,1,0.76,0.6970000000000001,0.55,0.2537,50,160,210
15885,15886,2012-10-30,4,1,10,14,0,2,1,3,0.3,0.2727,0.81,0.3582,8,118,126
2590,2591,2011-04-22,2,0,4,20,0,5,1,3,0.32,0.303,0.87,0.2239,8,39,47
788,789,2011-02-05,1,0,2,7,0,6,0,3,0.22,0.2576,0.93,0.0896,0,4,4
9808,9809,2012-02-18,1,1,2,15,0,6,0,1,0.42,0.4242,0.41,0.2537,229,270,499
12093,12094,2012-05-24,2,1,5,2,0,4,1,1,0.6,0.5455,0.88,0.0,1,15,16
16467,16468,2012-11-23,4,1,11,21,0,5,1,1,0.46,0.4545,0.47,0.2537,23,75,98
16232,16233,2012-11-14,4,1,11,2,0,3,1,1,0.24,0.2121,0.6,0.2985,0,1,1
13037,13038,2012-07-02,3,1,7,10,0,1,1,1,0.8,0.7273,0.43,0.2537,70,104,174
4579,4580,2011-07-14,3,0,7,17,0,4,1,1,0.74,0.6515,0.37,0.1343,78,517,595
15153,15154,2012-09-28,4,1,9,14,0,5,1,2,0.7,0.6515,0.54,0.2537,105,294,399
12679,12680,2012-06-17,2,1,6,12,0,0,0,1,0.62,0.6212,0.57,0.0,260,355,615
11131,11132,2012-04-14,2,1,4,0,0,6,0,1,0.4,0.4091,0.58,0.1343,11,85,96
13321,13322,2012-07-14,3,1,7,6,0,6,0,2,0.64,0.5909,0.78,0.0896,6,29,35
15784,15785,2012-10-24,4,1,10,21,0,3,1,2,0.62,0.6061,0.61,0.1045,33,280,313
2061,2062,2011-03-31,2,0,3,18,0,4,1,2,0.3,0.303,0.87,0.1343,12,165,177
17174,17175,2012-12-23,1,1,12,9,0,0,0,1,0.2,0.2273,0.59,0.1045,7,49,56
8363,8364,2011-12-20,4,0,12,3,0,2,1,2,0.34,0.3636,0.61,0.0,1,1,2
15681,15682,2012-10-20,4,1,10,14,0,6,0,1,0.56,0.5303,0.4,0.0,335,376,711
14490,14491,2012-08-31,3,1,8,23,0,5,1,1,0.74,0.6818,0.62,0.1045,32,142,174
14933,14934,2012-09-19,3,1,9,10,0,3,1,1,0.56,0.5303,0.52,0.19399999999999998,23,169,192
7397,7398,2011-11-09,4,0,11,20,0,3,1,1,0.44,0.4394,0.77,0.0,18,201,219
17237,17238,2012-12-26,1,1,12,2,0,3,1,2,0.26,0.2273,0.65,0.2985,0,1,1
6486,6487,2011-10-02,4,0,10,20,0,0,0,2,0.36,0.3333,0.76,0.2537,16,71,87
5905,5906,2011-09-08,3,0,9,14,0,4,1,2,0.7,0.6667,0.79,0.3582,15,105,120
12134,12135,2012-05-25,2,1,5,19,0,5,1,1,0.74,0.6818,0.62,0.2537,111,293,404
12179,12180,2012-05-27,2,1,5,16,0,0,0,1,0.78,0.7121,0.52,0.2836,258,243,501
1656,1657,2011-03-14,1,0,3,14,0,1,1,2,0.38,0.3939,0.34,0.0,27,52,79
6582,6583,2011-10-06,4,0,10,20,0,4,1,1,0.5,0.4848,0.77,0.1045,29,231,260
7493,7494,2011-11-13,4,0,11,20,0,0,0,1,0.5,0.4848,0.31,0.3582,24,115,139
11222,11223,2012-04-17,2,1,4,19,0,2,1,1,0.6,0.6061,0.26,0.2537,73,464,537
2970,2971,2011-05-08,2,0,5,16,0,0,0,1,0.6,0.6212,0.46,0.1045,122,263,385
5295,5296,2011-08-13,3,0,8,13,0,6,0,2,0.74,0.7121,0.74,0.3284,61,92,153
3771,3772,2011-06-11,2,0,6,1,0,6,0,1,0.7,0.6667,0.79,0.0896,10,67,77
16790,16791,2012-12-07,4,1,12,9,0,5,1,2,0.3,0.303,0.81,0.1343,10,291,301
558,559,2011-01-25,1,0,1,11,0,2,1,2,0.24,0.2424,0.6,0.1343,6,55,61
1882,1883,2011-03-24,2,0,3,5,0,4,1,2,0.28,0.2727,0.93,0.2239,1,8,9
13111,13112,2012-07-05,3,1,7,12,0,4,1,1,0.9,0.8182,0.35,0.3582,88,188,276
1821,1822,2011-03-21,2,0,3,15,0,1,1,2,0.56,0.5303,0.6,0.2239,41,66,107
3383,3384,2011-05-25,2,0,5,21,0,3,1,1,0.66,0.6212,0.69,0.1343,33,203,236
5888,5889,2011-09-07,3,0,9,20,0,3,1,3,0.64,0.5758,0.89,0.0896,3,93,96
8223,8224,2011-12-14,4,0,12,7,0,3,1,1,0.28,0.3182,0.75,0.0,4,243,247
16905,16906,2012-12-12,4,1,12,4,0,3,1,1,0.26,0.303,0.6,0.0,0,4,4
15806,15807,2012-10-25,4,1,10,19,0,4,1,1,0.54,0.5152,0.83,0.19399999999999998,45,497,542
8185,8186,2011-12-12,4,0,12,17,0,1,1,2,0.3,0.3333,0.56,0.0,7,352,359
16980,16981,2012-12-15,4,1,12,7,0,6,0,2,0.24,0.2576,0.75,0.0896,1,47,48
6579,6580,2011-10-06,4,0,10,17,0,4,1,1,0.56,0.5303,0.52,0.1343,63,505,568
10785,10786,2012-03-30,2,1,3,12,0,5,1,2,0.38,0.3939,0.54,0.0,62,208,270
9487,9488,2012-02-05,1,1,2,5,0,0,0,3,0.26,0.2576,0.81,0.19399999999999998,0,4,4
16505,16506,2012-11-25,4,1,11,11,0,0,0,2,0.26,0.2576,0.41,0.2239,49,155,204
10395,10396,2012-03-14,1,1,3,6,0,3,1,1,0.44,0.4394,0.82,0.0896,1,120,121
13600,13601,2012-07-25,3,1,7,21,0,3,1,1,0.72,0.6515,0.45,0.1343,71,326,397
12732,12733,2012-06-19,2,1,6,17,0,2,1,1,0.8,0.7576,0.55,0.19399999999999998,86,725,811
13544,13545,2012-07-23,3,1,7,13,0,1,1,2,0.8,0.7424,0.52,0.1045,64,176,240
6760,6761,2011-10-14,4,0,10,6,0,5,1,3,0.56,0.5303,0.88,0.19399999999999998,4,90,94
8176,8177,2011-12-12,4,0,12,8,0,1,1,2,0.16,0.1818,0.8,0.1045,7,378,385
10162,10163,2012-03-04,1,1,3,12,0,0,0,1,0.34,0.303,0.42,0.3582,71,256,327
2249,2250,2011-04-08,2,0,4,14,0,5,1,3,0.34,0.3182,0.87,0.2239,2,13,15
4468,4469,2011-07-10,3,0,7,2,0,0,0,1,0.68,0.6364,0.69,0.0896,28,68,96
13746,13747,2012-07-31,3,1,7,23,0,2,1,2,0.66,0.6061,0.83,0.1642,20,127,147
8723,8724,2012-01-04,1,1,1,7,0,3,1,1,0.02,0.0455,0.44,0.19399999999999998,1,151,152
302,303,2011-01-14,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5
10283,10284,2012-03-09,1,1,3,13,0,5,1,2,0.38,0.3939,0.29,0.3881,49,175,224
3387,3388,2011-05-26,2,0,5,1,0,4,1,1,0.64,0.6061,0.73,0.1343,3,13,16
16166,16167,2012-11-11,4,1,11,8,0,0,0,1,0.32,0.3333,0.87,0.1045,32,87,119
5494,5495,2011-08-21,3,0,8,20,0,0,0,1,0.7,0.6667,0.79,0.2537,41,140,181
7527,7528,2011-11-15,4,0,11,6,0,2,1,2,0.56,0.5303,0.64,0.0896,4,104,108
16617,16618,2012-11-30,4,1,11,4,0,5,1,1,0.22,0.2727,0.75,0.0,0,3,3
1678,1679,2011-03-15,1,0,3,13,0,2,1,2,0.36,0.3333,0.57,0.2836,23,74,97
5598,5599,2011-08-26,3,0,8,4,0,5,1,1,0.62,0.5606,0.88,0.0,2,6,8
3615,3616,2011-06-04,2,0,6,13,0,6,0,1,0.74,0.6515,0.28,0.1343,188,268,456
8472,8473,2011-12-24,1,0,12,16,0,6,0,1,0.32,0.3182,0.42,0.19399999999999998,25,74,99
1207,1208,2011-02-23,1,0,2,9,0,3,1,1,0.18,0.2121,0.51,0.0896,9,130,139
1755,1756,2011-03-18,1,0,3,20,0,5,1,1,0.62,0.6212,0.46,0.1343,46,103,149
